Country,Population (2020),Population (Cumulative)
China,1439323776,1439323776
India,1380004385,2819328161
United States,331002651,3150330812
Indonesia,273523615,3423854427
Pakistan,220892340,3644746767
Brazil,212559417,3857306184
Nigeria,206139589,4063445773
Bangladesh,164689383,4228135156
Russia,145934462,4374069618
Mexico,128932753,4503002371
Japan,126476461,4629478832
Ethiopia,114963588,4744442420
Philippines,109581078,4854023498
Egypt,102334404,4956357902
Vietnam,97338579,5053696481
DR Congo,89561403,5143257884
Turkey,84339067,5227596951
Iran,83992949,5311589900
Germany,83783942,5395373842
Thailand,69799978,5465173820
United Kingdom,67886011,5533059831
France,65273511,5598333342
Italy,60461826,5658795168
Tanzania,59734218,5718529386
South Africa,59308690,5777838076
Myanmar,54409800,5832247876
Kenya,53771296,5886019172
South Korea,51269185,5937288357
Colombia,50882891,5988171248
Spain,46754778,6034926026
Uganda,45741007,6080667033
Argentina,45195774,6125862807
Ukraine,43733762,6169596569
Sudan,43849260,6213445829
Algeria,43851044,6257296873
Iraq,40222493,6297519366
Afghanistan,38928346,6336447712
Poland,37846611,6374294323
Canada,37742154,6412036477
Morocco,36910560,6448947037
Saudi Arabia,34813871,6483760908
Uzbekistan,33469203,6517230111
Malaysia,32365999,6549596110
Peru,32971854,6582567964
Angola,32866272,6615434236
Ghana,31072940,6646507176
Mozambique,31255435,6677762611
Yemen,29825964,6707588575
Nepal,29136808,6736725383
Madagascar,27691018,6764416401
Venezuela,28435940,6792852341
Côte d'Ivoire,26378274,6819230615
Cameroon,26545863,6845776478
North Korea,25778816,6871555294
Australia,25499884,6897055178
Taiwan,23816775,6920871953
Niger,24206644,6945078597
Sri Lanka,21413249,6966491846
Burkina Faso,20903273,6987395119
Mali,20250833,7007645952
Malawi,19129952,7026775904
Romania,19237691,7046013595
Chile,19116201,7065129796
Zambia,18383955,7083513751
Kazakhstan,18776707,7102290458
Guatemala,17915568,7120206026
Ecuador,17643054,7137849080
Netherlands,17134872,7154983952
Syria,17500658,7172484610
Cambodia,16718965,7189203575
Senegal,16743927,7205947502
Chad,16425864,7222373366
Somalia,15893222,7238266588
Zimbabwe,14862924,7253129512
Rwanda,12952218,7266081730
Guinea,13132795,7279214525
Benin,12123200,7291337725
Burundi,11890784,7303228509
Haiti,11402528,7314631037
Belgium,11589623,7326220660
Cuba,11326616,7337547276
Tunisia,11818619,7349365895
Bolivia,11673021,7361038916
Dominican Republic,10847910,7371886826
Czech Republic (Czechia),10708981,7382595807
South Sudan,11193725,7393789532
Azerbaijan,10139177,7403928709
United Arab Emirates,9890402,7413819111
Jordan,10203134,7424022245
Portugal,10196709,7434218954
Honduras,9904607,7444123561
Greece,10423054,7454546615
Sweden,10099265,7464645880
Austria,9006398,7473652278
Hungary,9660351,7483312629
Tajikistan,9537645,7492850274
Belarus,9449323,7502299597
Israel,8655535,7510955132
Switzerland,8654622,7519609754
Togo,8278724,7527888478
Serbia,8737371,7536625849
Papua New Guinea,8947024,7545572873
Hong Kong,7496981,7553069854
Sierra Leone,7976983,7561046837
Lebanon,6825445,7567872282
Bulgaria,6948445,7574820727
Laos,7275560,7582096287
Paraguay,7132538,7589228825
Libya,6871292,7596100117
Singapore,5850342,7601950459
El Salvador,6486205,7608436664
Nicaragua,6624554,7615061218
Kyrgyzstan,6524195,7621585413
Turkmenistan,6031200,7627616613
State of Palestine,5101414,7632718027
Denmark,5792202,7638510229
Slovakia,5459642,7643969871
Costa Rica,5094118,7649063989
Finland,5540720,7654604709
Congo,5518087,7660122796
Oman,5106626,7665229422
Norway,5421241,7670650663
Ireland,4937786,7675588449
Panama,4314767,7679903216
Liberia,5057681,7684960897
New Zealand,4822233,7689783130
Central African Republic,4829767,7694612897
Mauritania,4649658,7699262555
Kuwait,4270571,7703533126
Moldova,4033963,7707567089
Croatia,4105267,7711672356
Georgia,3989167,7715661523
Eritrea,3546421,7719207944
Puerto Rico,2860853,7722068797
Jamaica,2961167,7725029964
Qatar,2881053,7727911017
Albania,2877797,7730788814
Armenia,2963243,7733752057
Bosnia and Herzegovina,3280819,7737032876
Uruguay,3473730,7740506606
Mongolia,3278290,7743784896
Gambia,2416668,7746201564
Slovenia,2078938,7748280502
North Macedonia,2083374,7750363876
Lesotho,2142249,7752506125
Guinea-Bissau,1968001,7754474126
Lithuania,2722289,7757196415
Gabon,2225734,7759422149
Botswana,2351627,7761773776
Namibia,2540905,7764314681
Bahrain,1701575,7766016256
Mauritius,1271768,7767288024
Trinidad and Tobago,1399488,7768687512
Cyprus,1207359,7769894871
Timor-Leste,1318445,7771213316
Equatorial Guinea,1402985,7772616301
Estonia,1326535,7773942836
Latvia,1886198,7775829034
Macao,649335,7776478369
Maldives,540544,7777018913
Malta,441543,7777460456
Micronesia,548914,7778009370
Comoros,869601,7778878971
Réunion,895312,7779774283
Luxembourg,625978,7780400261
Guadeloupe,400124,7780800385
Cabo Verde,555987,7781356372
Brunei,437479,7781793851
Eswatini,1160164,7782954015
Fiji,896445,7783850460
Montenegro,628066,7784478526
Djibouti,988000,7785466526
Bahamas,393244,7785859770
Solomon Islands,686884,7786546654
Bhutan,771608,7787318262
Belize,397628,7787715890
Guyana,786552,7788502442
Suriname,586632,7789089074
Western Sahara,597339,7789686413
Monaco,39242,7789725655
Gibraltar,33691,7789759346
Holy See,801,7789760147
Sint Maarten,42876,7789803023
Bermuda,62278,7789865301
Channel Islands,173863,7790039164
Saint Martin,38666,7790077830
Mayotte,272815,7790350645
Barbados,287375,7790638020
Aruba,106766,7790744786
San Marino,33931,7790778717
Nauru,10824,7790789541
Saint Barthelemy,9877,7790799418
Tuvalu,11792,7790811210
Curaçao,164093,7790975303
Martinique,375265,7791350568
Grenada,112523,7791463091
Marshall Islands,59190,7791522281
Guam,168775,7791691056
Saint Lucia,183627,7791874683
U.S. Virgin Islands,104425,7791979108
St. Vincent & Grenadines,110940,7792090048
American Samoa,55191,7792145239
Cayman Islands,65722,7792210961
Liechtenstein,38128,7792249089
Sao Tome & Principe,219159,7792468248
Antigua and Barbuda,97929,7792566177
Seychelles,98347,7792664524
Saint Kitts & Nevis,53199,7792717723
British Virgin Islands,30231,7792747954
Anguilla,15003,7792762957
Andorra,77265,7792840222
Isle of Man,85033,7792925255
Kiribati,119449,7793044704
Tonga,105695,7793150399
Tokelau,1357,7793151756
